label,startVal,targContin,maskContin,targSize,targVertices,targSpeed,targColour,targLoc1,targLoc2,targInitPos1,targInitPos2,targInitPos3,maskVertices,maskSize,maskSpeed,maskColRed,maskColBlue,maskColGreen,maskColYellow,maskColGrey,trainTrials,exptTrials,trainRevs,exptRevs
1_l,0.1,1,1,0.46,16,45,grey,0.475,0.525,0,0.33,0.66,4,0.46,15,1,1,1,1,0,0,0,0,12
1_h,1,1,1,0.46,16,45,grey,0.475,0.525,0,0.33,0.66,4,0.46,15,1,1,1,1,0,0,0,0,12
2_l,0.1,1,1,0.46,16,45,grey,0.475,0.525,0,0.33,0.66,4,0.46,30,1,1,1,1,0,0,0,0,12
2_h,1,1,1,0.46,16,45,grey,0.475,0.525,0,0.33,0.66,4,0.46,30,1,1,1,1,0,0,0,0,12
3_l,0.1,1,1,0.46,16,45,grey,0.475,0.525,0,0.33,0.66,4,0.46,45,1,1,1,1,0,0,0,4,12
3_h,1,1,1,0.46,16,45,grey,0.475,0.525,0,0.33,0.66,4,0.46,45,1,1,1,1,0,0,0,4,12
5_l,0.1,1,1,0.46,16,45,grey,0.475,0.525,0,0.33,0.66,4,0.46,75,1,1,1,1,0,0,0,0,12
5_h,1,1,1,0.46,16,45,grey,0.475,0.525,0,0.33,0.66,4,0.46,75,1,1,1,1,0,0,0,0,12
8_l,0.1,1,1,0.46,16,45,grey,0.475,0.525,0,0.33,0.66,4,0.46,120,1,1,1,1,0,0,0,0,12
8_h,1,1,1,0.46,16,45,grey,0.475,0.525,0,0.33,0.66,4,0.46,120,1,1,1,1,0,0,0,0,12
