label,startVal,taskDir1Loc2,targContin,maskContin,targSize,targVertices,targSpeed,targColour,targLoc1,targLoc2,targInitPos1,targInitPos2,targInitPos3,maskVertices,maskSize,maskSpeed,maskColRed,maskColBlue,maskColGreen,maskColYellow,maskColGrey,trainTrials,exptTrials,trainRevs,exptRevs
1_l,0.1,1,0,0,0.46,16,3,grey,-1,1,-1,0,1,4,0.46,1,1,1,1,1,0,0,0,0,12
1_h,0.8,1,0,0,0.46,16,3,grey,-1,1,-1,0,1,4,0.46,1,1,1,1,1,0,0,0,0,12
2_l,0.1,1,0,0,0.46,16,3,grey,-1,1,-1,0,1,4,0.46,2,1,1,1,1,0,0,0,0,12
2_h,0.8,1,0,0,0.46,16,3,grey,-1,1,-1,0,1,4,0.46,2,1,1,1,1,0,0,0,0,12
3_l,0.1,1,0,0,0.46,16,3,grey,-1,1,-1,0,1,4,0.46,3,1,1,1,1,0,0,0,4,12
3_h,0.8,1,0,0,0.46,16,3,grey,-1,1,-1,0,1,4,0.46,3,1,1,1,1,0,0,0,4,12
5_l,0.1,1,0,0,0.46,16,3,grey,-1,1,-1,0,1,4,0.46,5,1,1,1,1,0,0,0,0,12
5_h,0.8,1,0,0,0.46,16,3,grey,-1,1,-1,0,1,4,0.46,5,1,1,1,1,0,0,0,0,12
8_l,0.1,1,0,0,0.46,16,3,grey,-1,1,-1,0,1,4,0.46,8,1,1,1,1,0,0,0,0,12
8_h,0.8,1,0,0,0.46,16,3,grey,-1,1,-1,0,1,4,0.46,8,1,1,1,1,0,0,0,0,12
