label,startVal,targSize,targLoc,targVertices,targSpeed,targColour,targCorrAns,maskVertices,maskSize,maskSpeed,maskColRed,maskColBlue,maskColGreen,maskColYellow,maskColGrey
low,0.1,0.46,above,16,3,red,up,4,0.46,1,1,1,1,1,0
low,0.1,0.46,below,16,3,red,down,4,0.46,1,1,1,1,1,0
high,0.8,0.46,above,16,3,red,up,4,0.46,1,1,1,1,1,0
high,0.8,0.46,below,16,3,red,down,4,0.46,1,1,1,1,1,0
low,0.1,0.46,above,16,3,red,up,4,0.46,2,1,1,1,1,0
low,0.1,0.46,below,16,3,red,down,4,0.46,2,1,1,1,1,0
high,0.8,0.46,above,16,3,red,up,4,0.46,2,1,1,1,1,0
high,0.8,0.46,below,16,3,red,down,4,0.46,2,1,1,1,1,0
low,0.1,0.46,above,16,3,red,up,4,0.46,3,1,1,1,1,0
low,0.1,0.46,below,16,3,red,down,4,0.46,3,1,1,1,1,0
high,0.8,0.46,above,16,3,red,up,4,0.46,3,1,1,1,1,0
high,0.8,0.46,below,16,3,red,down,4,0.46,3,1,1,1,1,0
low,0.1,0.46,above,16,3,red,up,4,0.46,5,1,1,1,1,0
low,0.1,0.46,below,16,3,red,down,4,0.46,5,1,1,1,1,0
high,0.8,0.46,above,16,3,red,up,4,0.46,5,1,1,1,1,0
high,0.8,0.46,below,16,3,red,down,4,0.46,5,1,1,1,1,0
low,0.1,0.46,above,16,3,red,up,4,0.46,8,1,1,1,1,0
low,0.1,0.46,below,16,3,red,down,4,0.46,8,1,1,1,1,0
high,0.8,0.46,above,16,3,red,up,4,0.46,8,1,1,1,1,0
high,0.8,0.46,below,16,3,red,down,4,0.46,8,1,1,1,1,0
