label,startVal,targSize,targVertices,targSpeed,targColour,targCorrAns,maskVertices,maskSize,maskSpeed,maskColRed,maskColBlue,maskColGreen,maskColYellow,maskColGrey
1_l,0.1,0.46,16,3,grey,up,4,0.46,1,1,1,1,1,0
1_h,0.8,0.46,16,3,grey,up,4,0.46,1,1,1,1,1,0
2_l,0.1,0.46,16,3,grey,up,4,0.46,2,1,1,1,1,0
2_h,0.8,0.46,16,3,grey,up,4,0.46,2,1,1,1,1,0
3_l,0.1,0.46,16,3,grey,up,4,0.46,3,1,1,1,1,0
3_h,0.8,0.46,16,3,grey,up,4,0.46,3,1,1,1,1,0
5_l,0.1,0.46,16,3,grey,up,4,0.46,5,1,1,1,1,0
5_h,0.8,0.46,16,3,grey,up,4,0.46,5,1,1,1,1,0
8_l,0.1,0.46,16,3,grey,up,4,0.46,8,1,1,1,1,0
8_h,0.8,0.46,16,3,grey,up,4,0.46,8,1,1,1,1,0
