cond,label,taskDet0Dir1Loc2,targContin,maskContin,targOnsetJit,targThreshT,targMaxDur,targSize,targVertices,targSpeed,targColour,targLoc1,targLoc2,targInitPos1,targInitPos2,targInitPos3,maskVertices,maskSize,maskSpeed,maskColRed,maskColBlue,maskColGreen,maskColYellow,maskColGrey,trainTrials,exptTrials
bcfs-cscm,cscm_1,0,1,1,0.5,2,3,0.46,16,3,grey,1.2,1.4,0,0.33,0.66,4,0.46,1,1,1,1,1,0,0,20
bcfs-cscm,cscm_2,0,1,1,0.5,2,3,0.46,16,3,grey,1.2,1.4,0,0.33,0.66,4,0.46,2,1,1,1,1,0,0,20
bcfs-cscm,cscm_3,0,1,1,0.5,2,3,0.46,16,3,grey,1.2,1.4,0,0.33,0.66,4,0.46,3,1,1,1,1,0,20,20
bcfs-cscm,cscm_5,0,1,1,0.5,2,3,0.46,16,3,grey,1.2,1.4,0,0.33,0.66,4,0.46,5,1,1,1,1,0,0,20
bcfs-cscm,cscm_8,0,1,1,0.5,2,3,0.46,16,3,grey,1.2,1.4,0,0.33,0.66,4,0.46,8,1,1,1,1,0,0,20
bcfs-csdm,csdm_1,0,1,0,0.5,2,3,0.46,16,3,grey,1.2,1.4,0,0.33,0.66,4,0.46,1,1,1,1,1,0,0,20
bcfs-csdm,csdm_2,0,1,0,0.5,2,3,0.46,16,3,grey,1.2,1.4,0,0.33,0.66,4,0.46,2,1,1,1,1,0,0,20
bcfs-csdm,csdm_3,0,1,0,0.5,2,3,0.46,16,3,grey,1.2,1.4,0,0.33,0.66,4,0.46,3,1,1,1,1,0,20,20
bcfs-csdm,csdm_5,0,1,0,0.5,2,3,0.46,16,3,grey,1.2,1.4,0,0.33,0.66,4,0.46,5,1,1,1,1,0,0,20
bcfs-csdm,csdm_8,0,1,0,0.5,2,3,0.46,16,3,grey,1.2,1.4,0,0.33,0.66,4,0.46,8,1,1,1,1,0,0,20
bcfs-dscm,dscm_1,0,0,1,0.5,2,3,0.46,16,3,grey,-1.1,1.1,-1,0,1,4,0.46,1,1,1,1,1,0,0,20
bcfs-dscm,dscm_2,0,0,1,0.5,2,3,0.46,16,3,grey,-1.1,1.1,-1,0,1,4,0.46,2,1,1,1,1,0,0,20
bcfs-dscm,dscm_3,0,0,1,0.5,2,3,0.46,16,3,grey,-1.1,1.1,-1,0,1,4,0.46,3,1,1,1,1,0,20,20
bcfs-dscm,dscm_4,0,0,1,0.5,2,3,0.46,16,3,grey,-1.1,1.1,-1,0,1,4,0.46,5,1,1,1,1,0,0,20
bcfs-dscm,dscm_5,0,0,1,0.5,2,3,0.46,16,3,grey,-1.1,1.1,-1,0,1,4,0.46,8,1,1,1,1,0,0,20
bcfs-dsdm,dsdm_1,0,0,0,0.5,2,3,0.46,16,3,grey,-1.1,1.1,-1,0,1,4,0.46,1,1,1,1,1,0,0,20
bcfs-dsdm,dsdm_2,0,0,0,0.5,2,3,0.46,16,3,grey,-1.1,1.1,-1,0,1,4,0.46,2,1,1,1,1,0,0,20
bcfs-dsdm,dsdm_3,0,0,0,0.5,2,3,0.46,16,3,grey,-1.1,1.1,-1,0,1,4,0.46,3,1,1,1,1,0,20,20
bcfs-dsdm,dsdm_4,0,0,0,0.5,2,3,0.46,16,3,grey,-1.1,1.1,-1,0,1,4,0.46,5,1,1,1,1,0,0,20
bcfs-dsdm,dsdm_5,0,0,0,0.5,2,3,0.46,16,3,grey,-1.1,1.1,-1,0,1,4,0.46,8,1,1,1,1,0,0,20
bcfs-cscm,nscm_1,0,0,1,0.5,2,3,0.46,16,0,grey,1.2,1.4,0,0.33,0.66,4,0.46,1,1,1,1,1,0,0,0
bcfs-cscm,nscm_2,0,0,1,0.5,2,3,0.46,16,0,grey,1.2,1.4,0,0.33,0.66,4,0.46,2,1,1,1,1,0,0,0
bcfs-cscm,nscm_3,0,0,1,0.5,2,3,0.46,16,0,grey,1.2,1.4,0,0.33,0.66,4,0.46,3,1,1,1,1,0,0,20
bcfs-cscm,nscm_5,0,0,1,0.5,2,3,0.46,16,0,grey,1.2,1.4,0,0.33,0.66,4,0.46,5,1,1,1,1,0,0,0
bcfs-cscm,nscm_8,0,0,1,0.5,2,3,0.46,16,0,grey,1.2,1.4,0,0.33,0.66,4,0.46,8,1,1,1,1,0,0,0
bcfs-csdm,nsdm_1,0,0,0,0.5,2,3,0.46,16,0,grey,1.2,1.4,0,0.33,0.66,4,0.46,1,1,1,1,1,0,0,0
bcfs-csdm,nsdm_2,0,0,0,0.5,2,3,0.46,16,0,grey,1.2,1.4,0,0.33,0.66,4,0.46,2,1,1,1,1,0,0,0
bcfs-csdm,nsdm_3,0,0,0,0.5,2,3,0.46,16,0,grey,1.2,1.4,0,0.33,0.66,4,0.46,3,1,1,1,1,0,0,20
bcfs-csdm,nsdm_5,0,0,0,0.5,2,3,0.46,16,0,grey,1.2,1.4,0,0.33,0.66,4,0.46,5,1,1,1,1,0,0,0
bcfs-csdm,nsdm_8,0,0,0,0.5,2,3,0.46,16,0,grey,1.2,1.4,0,0.33,0.66,4,0.46,8,1,1,1,1,0,0,0
bcfs-dscm,nscm_1,0,0,1,0.5,2,3,0.46,16,0,grey,-1.1,1.1,-1,0,1,4,0.46,1,1,1,1,1,0,0,0
bcfs-dscm,nscm_2,0,0,1,0.5,2,3,0.46,16,0,grey,-1.1,1.1,-1,0,1,4,0.46,2,1,1,1,1,0,0,0
bcfs-dscm,nscm_3,0,0,1,0.5,2,3,0.46,16,0,grey,-1.1,1.1,-1,0,1,4,0.46,3,1,1,1,1,0,0,20
bcfs-dscm,nscm_5,0,0,1,0.5,2,3,0.46,16,0,grey,-1.1,1.1,-1,0,1,4,0.46,5,1,1,1,1,0,0,0
bcfs-dscm,nscm_8,0,0,1,0.5,2,3,0.46,16,0,grey,-1.1,1.1,-1,0,1,4,0.46,8,1,1,1,1,0,0,0
bcfs-dsdm,nsdm_1,0,0,0,0.5,2,3,0.46,16,0,grey,-1.1,1.1,-1,0,1,4,0.46,1,1,1,1,1,0,0,0
bcfs-dsdm,nsdm_2,0,0,0,0.5,2,3,0.46,16,0,grey,-1.1,1.1,-1,0,1,4,0.46,2,1,1,1,1,0,0,0
bcfs-dsdm,nsdm_3,0,0,0,0.5,2,3,0.46,16,0,grey,-1.1,1.1,-1,0,1,4,0.46,3,1,1,1,1,0,0,20
bcfs-dsdm,nsdm_5,0,0,0,0.5,2,3,0.46,16,0,grey,-1.1,1.1,-1,0,1,4,0.46,5,1,1,1,1,0,0,0
bcfs-dsdm,nsdm_8,0,0,0,0.5,2,3,0.46,16,0,grey,-1.1,1.1,-1,0,1,4,0.46,8,1,1,1,1,0,0,0
