label,startVal,taskDir1Loc2,targContin,maskContin,targSize,targVertices,targSpeed,targColour,targLoc1,targLoc2,targInitPos1,targInitPos2,targInitPos3,maskVertices,maskSize,maskSpeed,maskColRed,maskColBlue,maskColGreen,maskColYellow,maskColGrey,trainTrials,exptTrials,trainRevs,exptRevs
1l,0.1,0,1,0,0.46,16,3,grey,1.2,1.4,0,0.33,0.66,4,0.46,1,1,1,1,1,0,0,0,0,0
1h,2,0,1,0,0.46,16,3,grey,1.2,1.4,0,0.33,0.66,4,0.46,1,1,1,1,1,0,0,0,0,0
2l,0.1,0,1,0,0.46,16,3,grey,1.2,1.4,0,0.33,0.66,4,0.46,2,1,1,1,1,0,0,0,0,0
2h,2,0,1,0,0.46,16,3,grey,1.2,1.4,0,0.33,0.66,4,0.46,2,1,1,1,1,0,0,0,0,0
3l,0.1,0,1,0,0.46,16,3,grey,1.2,1.4,0,0.33,0.66,4,0.46,3,1,1,1,1,0,0,0,8,4
3h,2,0,1,0,0.46,16,3,grey,1.2,1.4,0,0.33,0.66,4,0.46,3,1,1,1,1,0,0,0,8,4
5l,0.1,0,1,0,0.46,16,3,grey,1.2,1.4,0,0.33,0.66,4,0.46,5,1,1,1,1,0,0,0,0,0
5h,2,0,1,0,0.46,16,3,grey,1.2,1.4,0,0.33,0.66,4,0.46,5,1,1,1,1,0,0,0,0,0
8l,0.1,0,1,0,0.46,16,3,grey,1.2,1.4,0,0.33,0.66,4,0.46,8,1,1,1,1,0,0,0,0,0
8h,2,0,1,0,0.46,16,3,grey,1.2,1.4,0,0.33,0.66,4,0.46,8,1,1,1,1,0,0,0,0,0
