cond,label,taskDet0Dir1Loc2,targContin,maskContin,targOnsetJit,targThreshT,targMaxDur,targSize,targVertices,targSpeed,targColour,targLoc1,targLoc2,targInitPos1,targInitPos2,targInitPos3,maskVertices,maskSize,maskSpeed,maskColRed,maskColBlue,maskColGreen,maskColYellow,maskColGrey,trainTrials,exptTrials
s1,ts1ms.3,0,1,1,0.5,2,3,0.46,16,1,grey,-1.1,1.1,-1,0,1,4,0.46,0.3,1,1,1,1,0,0,8
s1,ts1ms1,0,1,1,0.5,2,3,0.46,16,1,grey,-1.1,1.1,-1,0,1,4,0.46,1,1,1,1,1,0,0,8
s1,ts1ms2,0,1,1,0.5,2,3,0.46,16,1,grey,-1.1,1.1,-1,0,1,4,0.46,2,1,1,1,1,0,6,8
s1,ts1ms3,0,1,1,0.5,2,3,0.46,16,1,grey,-1.1,1.1,-1,0,1,4,0.46,3,1,1,1,1,0,0,8
s1,ts1ms5,0,1,1,0.5,2,3,0.46,16,1,grey,-1.1,1.1,-1,0,1,4,0.46,5,1,1,1,1,0,0,8
s1,ts1ms8,0,1,1,0.5,2,3,0.46,16,1,grey,-1.1,1.1,-1,0,1,4,0.46,8,1,1,1,1,0,0,8
s1,ts5ms.3,0,1,1,0.5,2,3,0.46,16,5,grey,-1.1,1.1,-1,0,1,4,0.46,0.3,1,1,1,1,0,0,8
s1,ts5ms1,0,1,1,0.5,2,3,0.46,16,5,grey,-1.1,1.1,-1,0,1,4,0.46,1,1,1,1,1,0,0,8
s1,ts5ms2,0,1,1,0.5,2,3,0.46,16,5,grey,-1.1,1.1,-1,0,1,4,0.46,2,1,1,1,1,0,0,8
s1,ts5ms3,0,1,1,0.5,2,3,0.46,16,5,grey,-1.1,1.1,-1,0,1,4,0.46,3,1,1,1,1,0,6,8
s1,ts5ms5,0,1,1,0.5,2,3,0.46,16,5,grey,-1.1,1.1,-1,0,1,4,0.46,5,1,1,1,1,0,0,8
s1,ts5ms8,0,1,1,0.5,2,3,0.46,16,5,grey,-1.1,1.1,-1,0,1,4,0.46,8,1,1,1,1,0,0,8
s1,ts0ms3,0,1,1,0.5,2,3,0.46,16,0,grey,-1.1,1.1,-1,0,1,4,0.46,3,1,1,1,1,0,0,8
s2,ts1ms.3,0,1,1,0.5,2,3,0.46,16,1,grey,-1.1,1.1,-1,0,1,4,0.46,0.3,1,1,1,1,0,0,8
s2,ts1ms1,0,1,1,0.5,2,3,0.46,16,1,grey,-1.1,1.1,-1,0,1,4,0.46,1,1,1,1,1,0,0,8
s2,ts1ms2,0,1,1,0.5,2,3,0.46,16,1,grey,-1.1,1.1,-1,0,1,4,0.46,2,1,1,1,1,0,6,8
s2,ts1ms3,0,1,1,0.5,2,3,0.46,16,1,grey,-1.1,1.1,-1,0,1,4,0.46,3,1,1,1,1,0,0,8
s2,ts1ms5,0,1,1,0.5,2,3,0.46,16,1,grey,-1.1,1.1,-1,0,1,4,0.46,5,1,1,1,1,0,0,8
