condN,condLabel,tAdapt,tL,tR,sizeL,sizeR,sfL,sfR,speedL,speedR,contrL,contrR,dirL,dirR,dirDiff,colours
1,identical,0,500,500,6.7,6.7,0.5,0.5,5,5,1,1,0,0,0,grey
2,orthogonal,0,500,500,6.7,6.7,0.5,0.5,5,5,1,1,0,90,90,grey
3,opposite,0,500,500,6.7,6.7,0.5,0.5,5,5,1,1,0,180,180,grey
4,orthogonal,0,500,500,6.7,6.7,0.5,0.5,5,5,1,1,0,270,90,grey
5,orthogonal,0,500,500,6.7,6.7,0.5,0.5,5,5,1,1,90,0,90,grey
6,identical,0,500,500,6.7,6.7,0.5,0.5,5,5,1,1,90,90,0,grey
7,orthogonal,0,500,500,6.7,6.7,0.5,0.5,5,5,1,1,90,180,90,grey
8,opposite,0,500,500,6.7,6.7,0.5,0.5,5,5,1,1,90,270,180,grey
9,opposite,0,500,500,6.7,6.7,0.5,0.5,5,5,1,1,180,0,180,grey
10,orthogonal,0,500,500,6.7,6.7,0.5,0.5,5,5,1,1,180,90,90,grey
11,identical,0,500,500,6.7,6.7,0.5,0.5,5,5,1,1,180,180,0,grey
12,orthogonal,0,500,500,6.7,6.7,0.5,0.5,5,5,1,1,180,270,90,grey
13,orthogonal,0,500,500,6.7,6.7,0.5,0.5,5,5,1,1,270,0,90,grey
14,opposite,0,500,500,6.7,6.7,0.5,0.5,5,5,1,1,270,90,180,grey
15,orthogonal,0,500,500,6.7,6.7,0.5,0.5,5,5,1,1,270,180,90,grey
16,identical,0,500,500,6.7,6.7,0.5,0.5,5,5,1,1,270,270,0,grey
