0.4882 	WARNING 	Movie2 stim could not be imported and won't be available
4.2191 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=u'black', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xb8b8ad0>, name='window1', pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units='deg', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.2192 	EXP 	window1: recordFrameIntervals = False
4.3856 	EXP 	window1: recordFrameIntervals = True
4.5696 	EXP 	window1: recordFrameIntervals = False
4.7071 	EXP 	Created instrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Cambria', fontFiles=[], height=0.1, italic=False, name='instrText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units='deg', win=Window(...), wrapWidth=15.0)
4.7126 	EXP 	Created target = Polygon(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-1.0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', fillRGB=array([ 1.,  1.,  1.]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1, name='target', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.46,  0.46]), units='deg', vertices=ndarray(...), win=Window(...))
4.7198 	EXP 	instrText: autoDraw = True
7.0272 	DATA 	Keypress: escape
7.0324 	EXP 	Imported cond-expt01.csv as conditions, 20 conditions, 15 params
7.0329 	EXP 	Created sequence: random, trialTypes=20, nReps=4, seed=None
7.0337 	EXP 	New trial (rep=0, index=0): {'targCorrAns': 'down', 'targDir': 'left', 'maskSize': 0.46000000000000002, 'maskColGrey': 0, 'targShape': 'circle', 'maskColYellow': 1, 'targColour': 'grey', 'targLoc': 'below', 'maskColRed': 1, 'maskColGreen': 1, 'maskShape': 'square', 'targSpeed': 3, 'maskSpeed': 5, 'targSize': 0.46000000000000002, 'maskColBlue': 1}
7.0341 	EXP 	window1: recordFrameIntervals = False
