label,startVal,targSize,targVertices,targSpeed,targColour,maskVertices,maskSize,maskSpeed,maskColRed,maskColBlue,maskColGreen,maskColYellow,maskColGrey
1_l,0.8,0.46,16,45,grey,4,0.46,15,1,1,1,1,0
1_h,1,0.46,16,45,grey,4,0.46,15,1,1,1,1,0
2_l,0.8,0.46,16,45,grey,4,0.46,30,1,1,1,1,0
2_h,1,0.46,16,45,grey,4,0.46,30,1,1,1,1,0
3_l,0.8,0.46,16,45,grey,4,0.46,45,1,1,1,1,0
3_h,1,0.46,16,45,grey,4,0.46,45,1,1,1,1,0
5_l,0.8,0.46,16,45,grey,4,0.46,75,1,1,1,1,0
5_h,1,0.46,16,45,grey,4,0.46,75,1,1,1,1,0
8_l,0.8,0.46,16,45,grey,4,0.46,120,1,1,1,1,0
8_h,1,0.46,16,45,grey,4,0.46,120,1,1,1,1,0
