targSize,targLoc,targDir,targVertices,targSpeed,targColour,targCorrAns,maskVertices,maskSize,maskSpeed,maskColRed,maskColBlue,maskColGreen,maskColYellow,maskColGrey
0.46,above,left,16,3,red,up,4,0.46,1,1,1,1,1,0
0.46,below,left,16,3,red,down,4,0.46,1,1,1,1,1,0
0.46,above,left,16,3,red,up,4,0.46,2,1,1,1,1,0
0.46,below,left,16,3,red,down,4,0.46,2,1,1,1,1,0
0.46,above,left,16,3,red,up,4,0.46,3,1,1,1,1,0
0.46,below,left,16,3,red,down,4,0.46,3,1,1,1,1,0
0.46,above,left,16,3,red,up,4,0.46,5,1,1,1,1,0
0.46,below,left,16,3,red,down,4,0.46,5,1,1,1,1,0
0.46,above,left,16,3,red,up,4,0.46,8,1,1,1,1,0
0.46,below,left,16,3,red,down,4,0.46,8,1,1,1,1,0
